1	spray pequeño	04
2	levantar	05
3	Lote calor	08
4	grupo	10
5	equipar	11
6	ración	13
7	Disparo	14
8	palo	15
9	tambor de ciento quince kg	16
10	tambor de cien libras	17
11	tambor de cincuenta y cinco galones (US)	18
12	camión cisterna	19
13	contenedor de veinte pies	20
14	contenedor de cuarenta pies	21
15	decilitro por gramo	22
16	gramo por centímetro cúbico	23
17	libra teórica	24
18	gramo por centímetro cuadrado	25
19	tonelada real	26
20	tonelada teórica	27
21	kilogramo por metro cuadrado	28
22	libra por mil pies cuadrados	29
23	Día de potencia del caballo por tonelada métrica seca al aire.	30
24	coger peso	31
25	kilogramo por aire seco tonelada métrica	32
26	kilopascales metros cuadrados por gramo	33
27	kilopascales por milímetro	34
28	mililitros por centímetro cuadrado segundo	35
29	pies cúbicos por minuto por pie cuadrado	36
30	onza por pie cuadrado	37
31	onzas por pie cuadrado por 0,01 pulgadas	38
32	mililitro por segundo	40
33	mililitro por minuto	41
34	bolsa súper a granel	43
35	bolsa a granel de quinientos kg	44
36	bolsa a granel de trescientos kg	45
37	bolsa a granel de cincuenta libras	46
38	bolsa de cincuenta libras	47
39	carga de automóviles a granel	48
40	kilogramos teóricos	53
41	tonelada teórica	54
42	sitas	56
43	malla	57
44	kilogramo neto	58
45	parte por millón	59
46	porcentaje de peso	60
47	parte por billón (US)	61
48	porcentaje por 1000 horas	62
49	tasa de fracaso en el tiempo	63
50	libra por pulgada cuadrada, calibre	64
51	Oersted	66
52	prueba de escala específica	69
53	voltio amperio por libra	71
54	vatio por libra	72
55	amperio tum por centímetro	73
56	milipascal	74
57	gauss	76
58	mili pulgadas	77
59	kilogauss	78
60	libras por pulgada cuadrada absoluta	80
61	Enrique	81
62	kilopound por pulgada cuadrada	84
63	fuerza libra pie	85
64	libra por pie cúbico	87
65	equilibrio	89
66	Saybold segundo universal	90
67	alimenta	91
68	calorías por centímetro cúbico	92
69	calorías por gramo	93
70	unidad	94
71	veinte mil galones (US) de carros	95
72	diez mil galones (US) de carros	96
73	tambor de diez kg	97
74	tambor de quince kg	98
75	milla de coche	1ª
76	recuento de coches	1B
77	recuento de locomotoras	1C
78	recuento de cabos	1D
79	carro vacio	1E
80	millas de tren	1F
81	uso de combustible galón (US)	1G
82	milla del caboose	1H
83	tipo de interés fijo	1I
84	tonelada milla	1J
85	milla locomotora	1K
86	recuento total de coches	1L
87	milla de coche total	1M
88	cuarto de milla	1X
89	radianes por segundo	2ª
90	radianes por segundo al cuadrado	2B
91	Röntgen	2C
92	Unidad térmica británica por hora.	2I
93	centímetro cúbico por segundo	2J
94	pie cúbico por hora	2K
95	pie cúbico por minuto	2L
96	centímetro por segundo	2M
97	decibel	2N
98	kilobyte	2P
99	kilobecquerel	2Q
100	kilocurie	2R
101	megagramo	2U
102	megagramo por hora	2V
103	compartimiento	2W
104	metro por minuto	2X
105	milliröntgen	2Y
106	milivoltios	2Z
107	megajulio	3B
108	manmonth	3C
109	libra por libra de producto	3E
110	libra por pieza de producto	3G
111	kilogramo por kilogramo de producto	3H
112	kilogramo por pieza de producto	3I
113	bobina	4ª
114	gorra	4B
115	centistokes	4C
116	paquete de veinte	4E
117	microlitro	4G
118	micrometro	4H
119	miliamperio	4K
120	megabyte	4L
121	miligramo por hora	4M
122	megabecquerel	4N
123	microfarad	4º
124	newton por metro	4P
125	onza pulgada	4Q
126	pie onza	4R
127	picofarad	4T
128	libra por hora	4U
129	tonelada (US) por hora	4W
130	kilolitro por hora	4X
131	barril por minuto	5ª
132	lote	5B
133	galón (US) por mil	5C
134	MMSCF / día	5E
135	libras por mil	5F
136	bomba	5G
137	escenario	5H
138	pie cúbico estándar	5I
139	potencia hidráulica de caballos	5J
140	contar por minuto	5K
141	nivel sismico	5P
142	nfor sismica	5Q
143	15 calorías C	A1
144	amperio metro cuadrado por joule segundo	A10
145	Ã ¥ ngström	A11
146	unidad astronómica	A12
147	attojoule	A13
148	granero	A14
149	granero por electrón voltio	A15
150	granero por voltio de electrones esteradiano,	A16
151	granero por sterdian	A17
152	becquerel por kilogramo	A18
153	becquerel por metro cúbico	A19
154	amperio por centímetro	A2
155	Unidad térmica británica por segundo pie cuadrado grado Rankin	A20
156	Unidad térmica británica por libra grado Rankin	A21
157	Unidad térmica británica por segundo pie grado Rankin	A22
158	Unidad térmica británica por hora pie cuadrado grado Rankin	A23
159	candela por metro cuadrado	A24
160	cheval vapeur	A25
161	medidor de culombio	A26
162	medidor de culombio al cuadrado por voltio	A27
163	Coulomb por centímetro cúbico	A28
164	Coulomb por metro cúbico	A29
165	amperio por milímetro	A3
166	Coulomb por milímetro cúbico	A30
167	Coulomb por kilogramo segundo	A31
168	Coulomb por mol	A32
169	Coulomb por centímetro cuadrado	A33
170	Coulomb por metro cuadrado	A34
171	Coulomb por milímetro cuadrado	A35
172	centímetro cúbico por mol	A36
173	nformaci cúbico por mol	A37
174	metro cúbico por coulomb	A38
175	metro cúbico por kilogramo	A39
176	amperio por centímetro cuadrado	A4
177	metro cúbico por mol	A40
178	amperio por metro cuadrado	A41
179	curie por kilogramo	A42
180	tonelaje de peso muerto	A43
181	decalitro	A44
182	decámetro	A45
183	decitex	A47
184	grado Rankin	A48
185	negador	A49
186	amperio metro cuadrado	A5
187	dyn segundo por centímetro cúbico	A50
188	dina segundo por centímetro	A51
189	dina segundo por centímetro al quinto	A52
190	electronvolt	A53
191	electronvoltio por metro	A54
192	metro electronvolt cuadrado	A55
193	electronvoltio de metro cuadrado por kilogramo	A56
194	ergio	A57
195	erg por centímetro	A58
196	amperio por metro cuadrado kelvin al cuadrado	A6
197	erg por centímetro cúbico	A60
198	erg por gramo	A61
199	erg por gramo de segundo	A62
200	erg por segundo	A63
201	erg por segundo centímetro cuadrado	A64
202	erg por centímetro cuadrado segundo	A65
203	erg centímetro cuadrado	A66
204	ergímetro cuadrado por gramo	A67
205	exajulio	A68
206	faradio por metro	A69
207	amperio por milímetro cuadrado	A7
208	femtojoule	A70
209	femtometro	A71
210	pie por segundo al cuadrado	A73
211	pie-fuerza de la libra por segundo	A74
212	tonelada de carga	A75
213	galón	A76
214	Unidad de desplazamiento CGS gaussiana	A77
215	Unidad gaussiana CGS de corriente eléctrica.	A78
216	Unidad Gaussian CGS de carga eléctrica.	A79
217	amperio segundo	A8
218	Unidad Gaussian CGS de intensidad de campo eléctrico.	A80
219	Unidad Gaussian CGS de polarización eléctrica.	A81
220	Unidad Gaussian CGS de potencial eléctrico.	A82
221	Unidad Gaussiana CGS de magnetización.	A83
222	gigacoulomb por metro cúbico	A84
223	Gigaelectronvolt	A85
224	gigahercios	A86
225	gigaohm	A87
226	medidor de gigaohm	A88
227	gigapascal	A89
228	tarifa	A9
229	gigavatios	A90
230	gon	A91
231	gramo por metro cúbico	A93
232	gramo por mol	A94
233	gris	A95
234	gris por segundo	A96
235	hectopascal	A97
236	Henry por metro	A98
237	bola	AA
238	paquete a granel	AB
239	acre	ACR
240	byte	AD
241	amperio por metro	AE
242	minuto adicional	AH
243	minuto promedio por llamada	AI
244	policía	AJ
245	braza	AK
246	nfor de acceso	AL
247	ampolla	AM
248	hora amperio	AMH
249	amperio	AMP
250	año	ANA
251	solo libra de aluminio	AP
252	onza troy o onza de boticarios	APZ
253	Unidad de factor antihemofílico (AHF)	AQ
254	supositorio	AR
255	son	SON
256	surtido	COMO
257	fuerza alcohólica en masa	ASM
258	fuerza alcohólica por volumen	ASU
259	ambiente estándar	ATM
260	ambiente técnico	ATT
261	cápsula	AV
262	vial lleno de polvo	AW
263	montaje	SÍ
264	Unidad térmica británica por libra	AZ
265	Btu por pie cúbico	B0
266	barril (US) por día	B1
267	julios por kilogramo kelvin	B11
268	julios por metro	B12
269	julios por metro cuadrado	B13
270	julios por metro a la cuarta potencia	B14
271	julios por mol	B15
272	julios por mol kelvin	B16
273	joule segundo	B18
274	litera	B2
275	joule metro cuadrado por kilogramo	B20
276	kelvin por vatio	B21
277	Kiloampere	B22
278	kiloampere por metro cuadrado	B23
279	kiloampere por metro	B24
280	kilobecquerel por kilogramo	B25
281	kilocoulomb	B26
282	kilocoulomb por metro cúbico	B27
283	kilocoulomb por metro cuadrado	B28
284	kiloelectronvolt	B29
285	libra de bateo	B3
286	kilogramo metro por segundo	B31
287	kilogramo metro cuadrado	B32
288	kilogramo metro cuadrado por segundo	B33
289	kilogramo por decímetro cúbico	B34
290	kilogramo por litro	B35
291	caloría termoquímica por gramo	B36
292	kilogramo de fuerza	B37
293	metro de fuerza de kilogramo	B38
294	metro de fuerza de kilogramo por segundo	B39
295	barril, imperial	B4
296	kilogramo de fuerza por metro cuadrado	B40
297	kilojoule per kelvin	B41
298	kilojoule por kilogramo	B42
299	kilojoule por kilogramo kelvin	B43
300	kilojoule por mol	B44
301	kilomol	B45
302	kilomol por metro cúbico	B46
303	Kilonewton	B47
304	medidor de kilonewton	B48
305	kiloohm	B49
306	palanquilla	B5
307	medidor de kiloohm	B50
308	kilopond	B51
309	kilosegundo	B52
310	kilosiemens	B53
311	kilosiemens por metro	B54
312	kilovoltios por metro	B55
313	kiloveber por metro	B56
314	año luz	B57
315	litro por mol	B58
316	hora lumen	B59
317	bollo	B6
318	lumen por metro cuadrado	B60
319	lumen por vatio	B61
320	lumen segundo	B62
321	hora de lux	B63
322	lux segundo	B64
323	Maxwell	B65
324	megaamperios por metro cuadrado	B66
325	megabecquerel por kilogramo	B67
326	megacoulomb por metro cúbico	B69
327	ciclo	B7
328	megacoulomb por metro cuadrado	B70
329	megaelectronvolt	B71
330	megagramo por metro cúbico	B72
331	meganewton	B73
332	medidor de meganewton	B74
333	megaohm	B75
334	metro megaohm	B76
335	megasiemens por metro	B77
336	megavoltio	B78
337	megavolt por metro	B79
338	julios por metro cúbico	B8
339	metro recíproco cuadrado recíproco segundo	B81
340	metro a la cuarta potencia	B83
341	microamperios	B84
342	microbar	B85
343	microcoulomb	B86
344	microcoulomb por metro cúbico	B87
345	microcoulomb por metro cuadrado	B88
346	microfarada por metro	B89
347	batt	B9
348	microhenry	B90
349	microhenry por metro	B91
350	micronewton	B92
351	medidor de micronewton	B93
352	microohm	B94
353	medidor de microohmios	B95
354	micropascal	B96
355	microradiano	B97
356	microsegundo	B98
357	microsiemens	B99
358	bar	BAR
359	caja base	BB
360	tablero	BD
361	haz	SER
362	pie de tabla	BFT
363	bolso	BG
364	cepillo	BH
365	potencia al freno	BHP
366	trillón de dólares	BIL
367	cangilón	BJ
368	cesta	BK
369	bala	BL
370	barril seco	BLD
371	barril (EE. UU.) (petróleo, etc.)	BLL
372	botella	BO
373	cien pies de tabla	BP
374	becquerel	BQL
375	bar	BR
376	tornillo	BT
377	Unidad Térmica Británica	BTU
378	bushel (EE. UU.)	BUA
379	bushel (Reino Unido)	BUI
380	peso base	BW
381	caja	BX
382	millones de BTUs	BZ
383	llamada	C0
384	producto compuesto libra (peso total)	C1
385	millifarad	C10
